descriptor,Te,r^2 (Te),Vp,RMSE (Vp),n0,Vf,i_sat
61.38024357239513,4.066073697213799,0.9934102143768223,8.03,0.07712108186699249,4911326094.175435,-1.09625,-1.4781746031746055e-05
61.867388362652235,3.7532532805278813,0.9998772776907271,7.053750000000001,0.07788593627159836,4116967464.01203,-1.09625,-1.1904761904761903e-05
62.35453315290934,4.066073697213799,0.9934102143768223,8.03,0.0831549314422182,4911326094.175435,-1.09625,-1.4781746031746055e-05
62.841677943166445,4.050601185386249,0.9934569851916687,8.03,0.08461395208146012,4854647682.432479,-1.09625,-1.4583333333333335e-05
63.32882273342355,4.13563319094427,0.9931985949766324,8.03,0.08680843784504608,5163999672.994499,-1.09625,-1.5674603174603152e-05
63.815967523680655,4.275031591746119,0.9975300917590344,8.03,0.09094815840480845,4693354046.655814,-1.09625,-1.4484126984126934e-05
64.30311231393776,4.179167193991227,0.9973285947171314,8.03,0.09091742296636868,4779391280.386466,-1.09625,-1.458333333333328e-05
64.79025710419486,4.108010418872543,0.9975764451023059,8.03,0.083805842824306,4131948521.212567,-1.09625,-1.2499999999999955e-05
65.27740189445197,4.7829879804497955,0.9875114831631148,9.02625,0.08798059945038851,4133228247.759504,-1.09625,-1.349206349206346e-05
65.76454668470907,4.692184075005973,0.9879216030841791,9.02625,0.08828027226075337,3866189613.137205,-1.09625,-1.2499999999999989e-05
66.25169147496618,4.752666711300467,0.9627841229008735,9.02625,0.08447186988193708,3567116612.5833783,-1.09625,-1.160714285714283e-05
66.73883626522328,4.716691788170557,0.9512811171170793,9.02625,0.08424268318973756,3903350206.2511926,-2.1925,-1.2653061224489785e-05
67.22598105548039,4.455518902611457,0.9887656007648612,9.02625,0.07579615640378817,3206421640.5489564,-2.2125,-1.0102040816326526e-05
67.71312584573748,4.323491683829994,0.9934904350627295,9.02625,0.07579615640378817,3255011012.622513,-2.2125,-1.010204081632652e-05
68.20027063599458,4.360121532584412,0.9934328079410848,9.00625,0.08040567015954288,3374090235.78156,-1.11625,-1.0515873015872969e-05
68.68741542625169,3.6318083646125148,0.9997882309771873,8.01,0.08773432974918845,3627204171.4121966,-1.11625,-1.0317460317460266e-05
69.1745602165088,3.7448558601566933,0.9817390069719313,8.01,0.0869158589236309,3572036692.248155,-1.11625,-1.0317460317460266e-05
69.6617050067659,3.752808266909333,0.981770982288318,8.01,0.080433322991928,3602560110.499457,-1.11625,-1.0416666666666612e-05
70.148849797023,3.8243064663067488,0.9820492291368699,8.01,0.08354626032802272,3874615688.7481227,-1.11625,-1.1309523809523774e-05
70.63599458728011,4.174888475396038,0.9975631403278141,9.00625,0.07900325535102301,4358955990.78647,-1.11625,-1.329365079365077e-05
71.12313937753721,4.108010418872561,0.9975764451023056,9.00625,0.06904824680950798,4131948521.2125635,-1.11625,-1.2499999999999972e-05
71.61028416779432,3.887791798046095,0.9939401310341426,8.01,0.07958712762550273,4247360958.5090084,-1.11625,-1.2500000000000007e-05
72.09742895805142,4.174888475396049,0.997563140327814,9.00625,0.07937070701455996,4358955990.786475,-1.11625,-1.3293650793650803e-05
72.58457374830853,3.9283902822227414,0.9930880502869476,7.99,0.08686768761947077,4493633096.578065,-1.11625,-1.3293650793650803e-05
73.07171853856563,4.528702041061561,0.9751457905527955,9.00625,0.0791286434772754,4466314372.866721,-1.11625,-1.4186507936507927e-05
73.55886332882274,4.451419190964771,0.9756923270004417,8.98625,0.08291723095344221,4212391105.052329,-2.2125,-1.326530612244898e-05
74.04600811907984,4.97585568029213,0.9300454948474876,9.9825,0.07879754864377822,3677747762.039171,-2.2125,-1.2244897959183662e-05
74.53315290933695,4.872915582178463,0.9308388498748021,9.9825,0.0713683668854311,3375721701.5043793,-2.2125,-1.1122448979591842e-05
75.02029769959405,4.772470040489867,0.8780825820622375,8.98625,0.06650588051407225,3692708138.3924837,-2.2325,-1.20408163265306e-05
75.50744248985116,4.792177316146597,0.9555587098412982,8.98625,0.06806651635779247,3653877674.504101,-2.2325,-1.1938775510204073e-05
75.99458728010826,4.6926410219526336,0.9560042489412794,8.98625,0.06833406131978033,3345274657.474436,-2.2325,-1.0816326530612246e-05
76.48173207036537,4.403216956625004,0.9545435366132479,8.98625,0.07945995726728657,2867029829.0412,-2.2325,-8.979591836734717e-06
76.96887686062247,4.3944233476216334,0.954559921143708,8.98625,0.09189889028351049,2837284513.0911665,-2.2325,-8.87755102040817e-06
77.45602165087958,4.218335665301536,0.9534631855908584,8.98625,0.08761831260569644,3295332251.2348704,-2.2325,-1.0102040816326575e-05
77.94316644113667,4.371777376031934,0.9529465169963496,8.98625,0.07993460223735027,3858225168.9143314,-2.2325,-1.2040816326530651e-05
78.43031123139377,4.282989881557446,0.9532420054443127,8.98625,0.0764949387711098,3534637129.0060806,-2.2325,-1.0918367346938793e-05
78.91745602165088,3.60338153532252,0.9747336581827999,7.969999999999999,0.08879914380370671,3133276416.39432,-2.2325,-8.877551020408187e-06
79.40460081190798,3.8545692063229278,0.9851800486488388,7.949999999999999,0.08703748630029953,3447322011.935817,-2.2325,-1.010204081632657e-05
